student_id,department,year_level,gpa,avg_cs_grade,programming_languages,frameworks_tools,interests,preferred_difficulty,past_projects,num_past_projects,past_project_grades
STU-0088,Information Technology,4,2.6,2.69,"Python, C++, Bash, SQL","PostgreSQL, Docker, Arduino, MySQL Workbench, pgAdmin","database administration, IoT",Easy,Smart Grid Energy Management for Utility Optimization; GraphQL Implementation for Flexible API Querying; Radiotherapy Planning Optimization System for Dose Calculation; Water Quality Monitor for Quality Assessment,4,2.67; 1.93; 2.7; 3.38
STU-0089,Information Technology,3,3.67,3.46,"Bash, Python","Kubernetes, Hyper-V, KVM, Scapy, Netmiko","virtualization, networking",Medium,Account Lockout Management for Attack Prevention; Cloud Networking Architecture for Secure Communication; Cloud Networking Architecture for Secure Communication; Virtual Private Network (VPN) Infrastructure Design and Security; Cross-Region Backup Replication,5,3.24; 3.76; 3.28; 4.44; 3.33
STU-0090,Computer Science,3,2.39,2.62,"C++, Python","PyTorch, CUDA, Git, SpaCy, Linux, NLTK","natural language processing, computer vision, algorithms",Easy,Consensus Algorithm Implementation for Byzantine Fault Tolerance; Video Compression and Codec Implementation; Text Cleanup Tool for Text Preprocessing; Number Base Converter for Numerical Systems; Back-Translation Data Augmentation Technique for Training Robustness,5,2.59; 2.24; 2.16; 2.78; 2.33
STU-0091,Computer Science,3,3.28,2.69,Python,"Pandas, Git, Linux, Cirq, Qiskit, Jupyter, PennyLane","quantum computing, data mining",Medium,Inception Module Design for Multi-Scale Feature Extraction in Deep Networks; Signal Peptide Cleavage Site Prediction; Quantum Optimization Algorithm for Problem Solving,3,3.72; 2.57; 3.67
STU-0092,Information Technology,4,3.34,3.51,"C++, C, Bash, Python","Sensors, KVM, Docker, Arduino, Embedded Systems","IoT, virtualization, storage systems",Medium,IoT Access Control System for Device Authorization; Geofencing and Location Alert System; Service Orchestration Framework for Workflow Management; Pod Scheduling Algorithm for Resource Optimization,4,3.32; 3.28; 3.71; 2.48
STU-0093,Computer Science,3,3.0,3.15,"C++, R, Python","Pandas, Git, NumPy, Docker","data mining, computer vision",Medium,Proximity-Based Service Framework; News Aggregation System for Content Collection,2,2.95; 2.86
STU-0094,Information Systems,3,2.94,2.82,"Java, SQL, JavaScript, Python","Excel, React, Spring Boot, Tableau, Salesforce, Dynamics CRM","customer relationship management, e-government",Easy,Labor Scheduling Optimization for Staff Management; Conversion Funnel Analysis for Sales Pipeline; Data Warehouse Performance Tuning for Scalability,3,2.54; 2.52; 3.09
STU-0095,Computer Science,4,2.72,2.41,Python,"PyTorch, Git, SpaCy, Linux, Jupyter, NLTK, Hugging Face","natural language processing, optimization, graph algorithms",Medium,Point Location Problem Solver for Spatial Queries; Query Execution Plan Analyzer and Optimizer; Toxicity Detection System for Content Moderation in Online Platforms; Biologically Plausible Learning Algorithm Implementation; Differential Expression Analysis Framework,5,3.39; 2.92; 2.56; 2.32; 2.94
STU-0096,Software Engineering,4,2.12,1.84,"Java, Go, JavaScript, Python","Postman, Kubernetes, Swagger, Git","API development, microservices",Medium,XR Analytics Framework for XR Analytics; Message Replay for Message Reprocessing,2,2.59; 2.38
STU-0097,Computer Science,3,3.14,3.16,"C++, R, Python","Pandas, Git, Biopython, OR-Tools, NumPy, Linux, SciPy","optimization, bioinformatics",Easy,Cooling System Optimization Algorithm; Quantum Optimization Algorithm for Problem Solving; Explainable Recommendations for Transparency; Temporal Convolutional Networks for Sequential Data Processing and Analysis,4,3.45; 3.39; 3.04; 3.04
STU-0098,Software Engineering,3,2.61,2.66,"Python, Go, CSS, HTML, JavaScript","Webpack, Git, React, Django","web development, cloud computing",Medium,Workload Migration for Greener Regions; Cloud Intrusion Detection for Cloud Network Monitoring; Service-Oriented Architecture Framework for Enterprise Systems; Web Vitals Monitoring Framework; User Timeline for Personal Timeline,5,2.44; 3.12; 2.35; 2.88; 2.58
STU-0099,Computer Science,3,3.76,3.82,Python,"PyTorch, CUDA, Git, SpaCy, Keras, NLTK","natural language processing, neural networks",Medium,Novelty Detection Network for Out-of-Distribution Recognition; Multiple Sequence Alignment Tool for Protein Comparison; Prototype Learning Network for Few-Shot Classification; Data Profiling Engine for Data Discovery,4,3.3; 4.06; 4.45; 3.35
STU-0100,Information Systems,4,3.64,3.97,"Java, SQL, Python","Excel, Pandas, Tableau, ERP Systems","supply chain, enterprise resource planning, data governance",Hard,Continuous Improvement Program Management Framework; Evidence Management Framework; Six Sigma Quality Improvement System,3,3.7; 2.85; 3.63
STU-0101,Information Technology,3,3.03,2.5,"Go, Bash, Python","Kubernetes, Helm, Terraform, GCP, AWS, Ansible, Podman, Docker","cloud infrastructure, containerization",Easy,Distributed Hash Table (DHT) Implementation; Environment Parity Management System; Leak Detection System for Network Monitoring,3,2.88; 3.57; 3.32
STU-0102,Software Engineering,3,3.8,3.91,"Python, CSS, JavaScript","Webpack, Git, Django, PostgreSQL, Vue.js, Redis, Docker, VS Code","database design, web development",Easy,Data Classification Framework for Information Security; Federated Database Framework for Heterogeneous Integration; Data Classification Framework for Information Security; GraphQL API Development for Flexible Data Querying; API Versioning Strategy Implementation for Backward Compatibility,5,3.4; 3.5; 4.43; 3.22; 3.62
STU-0103,Cybersecurity,3,2.18,1.44,"Java, Linux, Python","LDAP, Active Directory, Wireshark, Linux, Cryptography, SQL, Anonymization Tools, PySyft","privacy, access control, malware analysis",Medium,Model Poisoning Attack Prevention Framework; Real-Time Packet Analysis System for Network Security and Threat Detection; Multi-Factor Authentication System for Enhanced User Verification; Behavioral Analytics Engine Using Machine Learning; Breach Prediction Model for Risk Assessment,5,2.25; 2.69; 2.41; 2.75; 2.48
STU-0104,Cybersecurity,4,3.87,3.26,"C, Linux, Python","Git, Wireshark, Linux, Scapy","cryptography, network security, AI security",Hard,Cross-Site Scripting (XSS) Prevention System for Web Applications; Cyber Threat Intelligence Extraction System; Natural Language Processing for Threat Analysis; Functional Safety Assessment Platform; Network Traffic Analysis for OT Systems,5,4.25; 3.35; 3.91; 3.59; 3.46
STU-0105,Computer Science,3,2.36,2.7,"C++, Python","Pandas, Git, Surprise, Docker, Jupyter, Linux","recommendation systems, graph algorithms",Easy,Quantum Gate Implementation for Gate-Level Operations; Linear Regression Framework for Housing Price Estimation and Real Estate Analytics; Neural Ordinary Differential Equations (Neural ODE); 3D Object Detection Framework for Point Clouds and 3D Vision,4,1.77; 2.13; 3.09; 2.29
STU-0106,Software Engineering,3,3.37,3.08,"Python, Go, JavaScript, SQL","Git, PostgreSQL, Redis, Docker, VS Code, Django ORM, Express","database design, API development, devops",Easy,Metrics Collection and Aggregation Framework; Organization Chart for Hierarchical Visualization; Customer Queue Management System for Checkout; iOS Application with CloudKit Integration; API Request Validation Framework; Language Learning Tool for Language Acquisition,6,3.23; 3.28; 3.66; 3.56; 3.34; 4.06
STU-0107,Computer Science,3,2.3,2.28,"R, Python","Pandas, Git, Biopython, Docker","bioinformatics, recommendation systems, computer vision",Medium,Missing Value Analysis for Data Gaps; Multiple Sequence Alignment Tool for Protein Comparison; Relational Database Schema Design for Data Normalization,3,1.87; 2.29; 2.67
STU-0108,Software Engineering,3,3.16,2.86,"Go, JavaScript, Python","Postman, Kubernetes, Swagger, Terraform, Git, Ansible","API development, cloud computing",Medium,Cloud Intrusion Detection for Cloud Network Monitoring; Cloud Function Deployment and Management; Storage Tiering Strategy for Cost Optimization; Screen Share Application for Screen Sharing,4,3.14; 3.25; 3.31; 2.72
STU-0109,Information Technology,3,2.5,2.37,"Go, Bash, Python","Terraform, GCP, Ansible, Prometheus, Docker","monitoring, cloud infrastructure, virtualization",Medium,Real-Time OT Network Monitoring System; Waste Heat Recovery System; Permission Management Framework for Access Control; Recycling Program Tracker for Recycling Data,4,1.81; 2.54; 2.26; 2.7
STU-0110,Software Engineering,3,4.57,4.57,"Python, Java, C#, CSS, JavaScript","Kubernetes, Git, React, Spring Boot, SAP, Docker, VS Code","enterprise systems, progressive web apps",Medium,Change Data Capture for Change Tracking,1,4.31
STU-0111,Computer Science,4,3.16,4.14,Python,"PyTorch, CUDA, Git, Graph-tool, Docker, Jupyter, Linux","deep learning, graph algorithms, neural networks",Easy,Support Vector Regression for Continuous Value Prediction in Machine Learning; Time-Series Visualization Tool for Temporal Pattern Observation; Quantum Annealing Application for Optimization; Quantum Error Correction System,4,3.65; 2.96; 3.82; 2.3
STU-0112,Software Engineering,4,2.75,2.7,"HTML, Go, JavaScript, Python","Postman, Webpack, Git, Vue.js, Flask","API development, progressive web apps",Easy,Workflow Automation Framework for Process Automation; Surgical Simulation System for Training and Planning,2,2.57; 2.77
STU-0113,Information Technology,4,2.55,2.46,"C, Bash, Python","Kubernetes, Hyper-V, KVM, Docker","storage systems, virtualization",Easy,Data Archival and Retention Policy Management; Alert Management for Alert Routing; Connection Pooling Implementation for Database Performance,3,2.85; 2.92; 2.7
STU-0114,Computer Science,3,3.6,3.82,"C++, Python","PyTorch, CUDA, Git, NumPy, Docker, Jupyter, Keras, PuLP","neural networks, optimization",Medium,Few-Shot Learning Network for Rapid Adaptation; Exploratory Data Analysis Framework for Data Understanding; Fine-Tuning Pre-trained Models for Custom Datasets in Computer Vision,3,3.46; 3.22; 4.32
STU-0115,Computer Science,3,2.29,1.93,"C++, Python","PyTorch, Git, Graph-tool, Linux","graph algorithms, natural language processing",Medium,Vision Transformer for Image Classification Using Self-Attention Mechanisms; Churn Prediction Model for Customer Attrition Forecasting,2,2.79; 2.2
STU-0116,Cybersecurity,4,2.37,2.44,"Linux, Python","Elasticsearch, MISP, Wireshark, Linux","threat intelligence, AI security",Medium,Adversarial Attack Detection for AI Models; Password Reset Framework for Secure Account Recovery; Control System Firmware Analysis Tool; GDPR Compliance Automation Framework,4,2.62; 2.13; 2.38; 2.12
STU-0117,Software Engineering,3,4.52,5.0,"Python, Java, Go, JavaScript","Kubernetes, React, Shopify, Spring Boot, RabbitMQ, Docker","microservices, e-commerce",Medium,Accessibility Testing Automation Framework; Internal Developer Platform (IDP) Implementation; RESTful Service Design Pattern Implementation; Inclusive Component Library; Security Policy Enforcement Framework for Development; API Versioning Strategy Implementation for Backward Compatibility,6,4.72; 4.18; 5.0; 4.11; 4.33; 4.8
STU-0118,Information Systems,4,3.18,2.41,"Java, SQL, JavaScript, Python","Excel, React, Spring Boot, Tableau, Salesforce, CRM Platforms","customer relationship management, e-government",Medium,Promotional Campaign Management System,1,3.3
STU-0119,Computer Science,4,2.45,2.15,"Java, C++, Python","PyTorch, Git, NumPy, Linux, Jupyter, SciPy","algorithms, computer vision",Easy,Quantum Gate Implementation for Gate-Level Operations; Photogrammetry Framework for 3D Reconstruction; Few-Shot Learning Approach for Limited Data Scenarios in Computer Vision; Moving Average Filtering System for Noise Reduction; Phrase-Based Statistical Machine Translation System for Cross-Language Processing,5,2.04; 2.75; 2.34; 2.14; 1.69
STU-0120,Cybersecurity,4,3.18,3.15,"SQL, Bash, Linux, Python","Excel, Pandas, SOAR, Reporting, SIEM, Wireshark, Linux, Windows","incident response, compliance",Easy,SOC 2 Compliance Assessment Platform; Cross-Site Scripting (XSS) Prevention System for Web Applications; Sensor Data Validation Framework for Data Integrity; One-Class Support Vector Machine for Novelty Detection in Networks,4,3.05; 2.95; 3.16; 3.07
STU-0121,Information Technology,4,2.01,2.19,"Go, C++, Bash","Kubernetes, Terraform, GCP, Ansible, Docker","cloud infrastructure, edge computing, IoT",Medium,Leak Detection System for Network Monitoring; Sustainability Metrics Dashboard; Radiotherapy Planning Optimization System for Dose Calculation; Data Destruction and Certification; Query Execution Plan Analyzer and Optimizer,5,2.05; 2.28; 2.26; 2.6; 2.58
STU-0122,Information Systems,4,2.45,2.87,"Java, Python, SQL","Excel, Activiti, Airflow, Tableau","data warehouse, business process management, data governance",Easy,Service Ticket Management Framework for Customer Support,1,1.65
STU-0123,Information Systems,4,2.6,2.56,"SQL, R, Python","Excel, Pandas, NumPy, Tableau, Seaborn, Matplotlib, Oracle ERP","data analytics, enterprise resource planning",Easy,Customer Behavior Prediction Model for Shopping Patterns,1,2.44
STU-0124,Cybersecurity,4,2.45,2.09,"Java, C, Linux, Python","Git, Wireshark, Active Directory, PyCryptodome, OAuth, OpenSSL","cryptography, access control",Easy,Data Anonymization Framework for Privacy Protection; Public Health Surveillance System; PLC Security Hardening Guidelines Implementation; Automated Incident Response Orchestration; Audit Trail Generation for Regulatory Evidence; Zero-Day Vulnerability Analysis System,6,2.56; 2.25; 2.55; 2.71; 2.28; 3.02
STU-0125,Cybersecurity,4,3.56,3.49,"C, Bash, Linux","Git, SOAR, Wireshark, Linux, PyCryptodome, Splunk, Nmap","cryptography, incident response, IoT security",Medium,Edge Data Processing for Local Analytics; User Authentication System for Access Control and Identity Verification; SCADA System Security Framework; Application Artifacts Analysis for Forensic Investigation; Role-Based Access Control Framework for Permission Management,5,3.21; 3.52; 3.79; 3.9; 3.12
STU-0126,Software Engineering,4,2.99,3.09,"Java, Python, JavaScript, SQL","Git, Pytest, Jest, Selenium, PostgreSQL","database design, testing, game development",Medium,3D Asset Management System for XR; Purchase Order Optimization for Cost Reduction; Layout Grid System Implementation; Tourism and Travel Recommendation Platform; Zero-Day Vulnerability Analysis System,5,2.94; 2.45; 2.97; 3.42; 3.82
STU-0127,Information Technology,3,3.76,3.42,"Bash, Python","Energy Monitoring, Terraform, GCP, Cloud Platforms, Ansible","green IT, cloud infrastructure",Easy,Sustainable Procurement Framework; Service Orchestration Framework for Workflow Management; MapReduce Framework Implementation,3,3.4; 3.88; 3.84
STU-0128,Information Technology,3,3.3,3.15,"C++, Bash, Python","Ansible, Windows Server, Docker, Puppet, Linux","system administration, IoT, storage systems",Easy,Cooling Water Efficiency Framework; Distributed Cache System for Performance Enhancement,2,3.2; 3.39
STU-0129,Information Technology,3,2.82,2.45,"SQL, Bash, Python","PostgreSQL, Ansible, Puppet, Windows Server","system administration, database administration",Medium,Key-Value Store Application for High-Speed Caching; Data Mart Implementation for Departmental Analysis; Data Dictionary Generator for Metadata Documentation; Fog Computing Architecture for Intermediate Processing; Circuit Breaker Pattern Implementation for Fault Tolerance; Carbon-Aware Cloud Computing Framework,6,2.68; 2.88; 3.04; 2.64; 2.92; 2.96
STU-0130,Information Technology,4,2.32,2.29,"Go, C, Bash, Python","Kubernetes, Helm, Podman, Netmiko, Docker, Wireshark","containerization, networking, database administration",Medium,Connection Pool Management System,1,2.59
STU-0131,Information Systems,4,2.7,2.26,"SQL, JavaScript, Python","Excel, Tableau, Apache Atlas, Node.js","data governance, retail systems, business intelligence",Easy,Map Rendering and Visualization Engine; Character Set Transformer for Internationalization; Web Scraper for Dynamic Content Extraction; Map Rendering and Visualization Engine,4,2.94; 3.25; 2.71; 2.45
STU-0132,Software Engineering,4,2.78,2.83,"HTML, CSS, JavaScript","Webpack, Git, React, Django, Docker, NPM","web development, enterprise systems",Easy,State Management Framework for SPA; WCAG Accessibility Checker Tool,2,2.81; 2.8
STU-0133,Cybersecurity,4,3.65,3.65,"Assembly, Bash, Linux, Python","SOAR, SIEM, Wireshark, Linux, Splunk, PEfile, ELK Stack","incident response, malware analysis, cloud security",Hard,Money Laundering Detection Framework for Financial Compliance; Hybrid Intrusion Detection Approach Combining Signature and Anomaly Methods; Canary Deployment Analysis Framework for Risk Assessment; HIPAA Compliance Checking System for Healthcare Data; Critical State Change Detection; Password Reset Framework for Secure Account Recovery,6,3.4; 3.86; 3.68; 3.68; 3.14; 4.6
STU-0134,Information Technology,3,3.64,2.68,"Go, C, Bash, Python","Terraform, Jenkins, Ansible, Pulumi, Docker, Linux, AWS S3","infrastructure automation, storage systems",Medium,Hypervisor Performance Monitoring and Tuning System; Distributed Transaction Coordination System; Persistent Volume Management for Data Storage,3,3.83; 3.81; 3.16
STU-0135,Cybersecurity,3,3.3,3.24,"C, Linux, Python","Kubernetes, Azure SDK, Terraform, AWS, Wireshark","cloud security, operational technology security, privacy",Medium,Privacy-Preserving Data Publishing Framework; Side-Channel Attack Analysis Framework; k-Anonymity Algorithm Implementation for Data Anonymization; Data Masking Tool for Sensitive Data Protection,4,3.0; 3.99; 4.09; 2.87
STU-0136,Information Systems,4,2.93,3.06,"Java, SQL, JavaScript, Python","Excel, React, SAP, Tableau, ERP Systems","retail systems, enterprise resource planning",Easy,Promotional Campaign Management System,1,3.73
STU-0137,Software Engineering,3,4.11,3.59,"Java, C#, JavaScript, Python","Kubernetes, Git, Spring Boot, Django, Docker, VS Code","software architecture, enterprise systems, devops",Easy,Data Validation Schema Framework for Input Validation; Backpressure Handling in Reactive Streams,2,4.28; 3.93
STU-0138,Software Engineering,4,3.46,3.05,"Python, Java, CSS, HTML, JavaScript","Kubernetes, Webpack, Git, React, Django","web development, enterprise systems",Easy,Domain-Driven Design Framework for Complex Business Logic; Mood Journal for Emotion Tracking; Trivia Game for Entertainment Learning,3,3.43; 3.97; 3.14
STU-0139,Cybersecurity,3,3.72,3.52,"C, Linux, Python","Kubernetes, Azure SDK, Terraform, AWS","cloud security, operational technology security",Medium,Dynamic Malware Behavior Analysis System for Runtime Monitoring; Process Behavior Monitoring Framework for Application-Level Threat Detection,2,3.94; 3.01
STU-0140,Information Systems,4,3.22,3.22,"Python, SQL","Excel, React, Airflow, Tableau","data warehouse, e-government",Medium,Master Data Management Platform for Data Consistency; Inventory Management for Multi-Location Retail,2,2.42; 3.55
STU-0141,Computer Science,4,3.16,3.71,Python,"PyTorch, Git, Linux, Cirq","quantum computing, reinforcement learning",Medium,Quantum Machine Learning Application; Generative Adversarial Network for Image Generation and Synthetic Data Creation; Video Object Detection with Temporal Consistency and Motion Analysis; Quantum Optimization Algorithm for Problem Solving,4,2.89; 2.31; 3.38; 2.46
STU-0142,Information Technology,4,2.51,2.41,"C++, C, Bash, Python","Sensors, Ansible, Docker, Puppet","IoT, system administration",Medium,Service Mesh Implementation for Distributed Service Communication; Distributed Hash Table (DHT) Implementation,2,2.33; 2.3
STU-0143,Information Technology,3,3.4,3.37,"C++, C, Bash","Sensors, Cloud Platforms, Docker, Linux, Arduino, Raspberry Pi, Embedded Systems, Monitoring Tools","IoT, green IT, virtualization",Easy,Robot Operating System Development for Robotics; Edge AI Inference with Model Quantization and Pruning,2,3.15; 3.39
STU-0144,Software Engineering,4,3.1,3.08,"HTML, CSS, JavaScript","Webpack, React, Git, Jest, Vue.js","progressive web apps, testing, software architecture",Medium,Regression Test Selection for Efficient Testing; Performance Measurement Framework for Government; Compliance Monitoring System for Regulatory Adherence; WCAG Accessibility Checker Tool; Content Management System Implementation for Web Publishing,5,3.61; 2.72; 4.02; 3.07; 2.57
STU-0145,Cybersecurity,4,2.98,3.07,"C, Linux, Python","PyTorch, Git, Wireshark, Scapy, Docker, CleverHans, MQTT","AI security, IoT security",Medium,Natural Language Processing for Threat Analysis; Edge AI Inference Framework for On-Device ML; Malware Traffic Analysis System for Detecting Malicious Network Behavior,3,2.7; 2.78; 3.04
STU-0146,Cybersecurity,3,3.45,3.44,"SQL, C, Linux","Snort, Excel, Pandas, TCPDump","network security, compliance, access control",Medium,SSL/TLS Certificate Management for Encrypted Communications; User Behavior Analytics for Insider Threats and Anomalous User Activities; Cyber Threat Intelligence Extraction System; Patch Gap Analysis for Unpatched System Detection,4,3.41; 3.79; 3.87; 4.11
STU-0147,Information Systems,3,2.85,2.68,"Java, SQL, Python","Excel, Pandas, FHIR, HL7, Healthcare Platforms, Tableau","healthcare systems, business intelligence, retail systems",Easy,Purchase Order Optimization for Cost Reduction; Organizational Network Analysis for Collaboration Mapping; Feedback Management Platform for Opinion Collection,3,3.29; 2.81; 3.0
STU-0148,Computer Science,3,3.65,3.26,"C++, R, Python","Git, OR-Tools, NumPy, Linux, Jupyter, SciPy, PuLP","optimization, machine learning, graph algorithms",Medium,Inception Module Design for Multi-Scale Feature Extraction in Deep Networks; Constraint Satisfaction Problem Solver Using Backtracking; Consensus Algorithm Implementation for Byzantine Fault Tolerance,3,3.58; 3.85; 3.42
STU-0149,Information Systems,4,4.1,4.25,"SQL, R, Python","Excel, Pandas, NumPy, Tableau","data analytics, data governance",Hard,Product Search and Filtering System; Hiring Workflow System for Recruitment Process,2,4.25; 4.06
STU-0150,Software Engineering,3,3.37,3.98,"Python, Java, Kotlin","Android SDK, Webpack, iOS SDK, Git, React, Android Studio, Xcode","mobile development, web development, API development",Medium,Trending Algorithm for Trending Content; Deadlock Detection and Prevention System; Property-Based Testing Framework for Generative Testing,3,3.4; 3.55; 3.06
STU-0151,Cybersecurity,4,2.43,2.84,"Bash, Linux, Python","Azure SDK, SOAR, AWS, SIEM, Linux, Windows, Splunk","incident response, cloud security, IoT security",Easy,OT/IT Security Policy Integration Framework; Botnet Detection for IoT Devices for Malware Prevention,2,2.59; 2.46
STU-0152,Information Systems,4,4.23,4.0,"SQL, Python","Excel, Pandas, Apache Atlas, Tableau, Metadata Tools","data governance, business intelligence, business process management",Hard,Risk Scoring Engine for Asset Prioritization; Smart City Integration Framework,2,4.38; 4.29
STU-0153,Software Engineering,3,2.58,2.88,"Java, Go, JavaScript","Kubernetes, Terraform, Git, GCP, Spring Boot, AWS, Ansible","cloud computing, microservices",Easy,Vulnerability Assessment Tool for Security Scanning; Data Deduplication Engine for Storage Optimization; Vulnerability Assessment Tool for Security Scanning; Database Query Optimization Engine for SQL Performance; Task Scheduler for Job Scheduling; Community Forum for Community Discussions,6,2.62; 2.87; 2.81; 2.87; 2.26; 1.89
STU-0154,Information Technology,3,2.39,2.07,"Bash, Python","Energy Monitoring, PostgreSQL, Docker, Monitoring Tools, pgAdmin","green IT, database administration, cloud infrastructure",Easy,Data Mart Implementation for Departmental Analysis; API Catalog and Discovery System,2,1.9; 2.7
STU-0155,Information Technology,4,1.85,1.63,"Python, C, Bash, SQL","PostgreSQL, Netmiko, Docker, Scapy, Wireshark, Linux, MongoDB, Nmap","database administration, networking, infrastructure automation",Easy,Database Statistics Collection and Management; Distributed Database System Design for Scalability; Waste Management System for Waste Tracking; Data Center Power Optimization System,4,1.84; 2.19; 1.97; 2.07
STU-0156,Information Technology,4,3.42,3.31,"C++, Bash, Python","Ansible, Windows Server, Docker, Puppet, Linux, Embedded Systems","system administration, IoT, cloud infrastructure",Medium,Smart Home Automation Platform for Connected Devices; API Catalog and Discovery System; Configuration Management for System Configuration,3,3.7; 3.02; 3.26
STU-0157,Information Systems,3,3.46,3.61,"Java, Python, SQL","Excel, Tableau, ERP Systems, SQL, Camunda, Oracle ERP","enterprise resource planning, business process management, healthcare systems",Medium,Product Traceability System for Batch Tracking; Receipt Management System for Transaction Documentation; Infrastructure Project Management System,3,3.79; 3.29; 3.5
STU-0158,Computer Science,4,2.74,2.81,Python,"PyTorch, CUDA, Pandas, Git, Scikit-learn, Docker, Diffusers","generative ai, recommendation systems, bioinformatics",Medium,Neural Network Architecture for Multi-layer Classification Using Deep Learning; Synthetic Data Generation Using Generative Adversarial Networks,2,3.02; 3.13
STU-0159,Information Technology,4,2.73,2.62,"Bash, Python","Hyper-V, Energy Monitoring, KVM, Docker","green IT, virtualization",Medium,Service-Level Objective (SLO) Tracking Framework; Backup and Archive Management System for Data Retention,2,2.66; 2.32
STU-0160,Cybersecurity,3,2.51,2.42,"C, Linux, Python","FTK, EnCase, Wireshark, Autopsy","digital forensics, malware analysis, operational technology security",Medium,Homomorphic Encryption Implementation for Secure Computation; Exception Handling System for Issue Management,2,1.93; 2.49
STU-0161,Cybersecurity,3,2.7,2.15,"Linux, Python","Git, FTK, EnCase, Wireshark","digital forensics, AI security",Medium,Encrypted Traffic Analysis for Threat Detection in Secure Communications; Dependency Vulnerability Analyzer for Supply Chain Risk; Two-Factor Authentication System for Enhanced Security,3,2.08; 2.98; 2.49
STU-0162,Cybersecurity,3,1.91,2.22,"Linux, Python","Elasticsearch, MISP, Wireshark, Linux, OpenCTI, Splunk, Autopsy","threat intelligence, digital forensics",Medium,Risk Assessment Tool for Threat Analysis,1,2.03
STU-0163,Information Technology,3,3.16,3.24,"Go, Bash, Python","Kubernetes, Terraform, GCP, AWS","cloud infrastructure, storage systems, networking",Medium,Critical State Change Detection; Wearable Device Framework for Health and Fitness Tracking,2,3.53; 3.36
STU-0164,Software Engineering,3,2.84,2.62,"Python, Go, C#","Kubernetes, Terraform, Git, Jenkins, Ansible, Unreal Engine, Prometheus, Linux","devops, game development, cloud computing",Easy,Organization Chart for Hierarchical Visualization; Employee Turnover Prediction Model for Retention Strategy; Animation Engine for Sprite and Model Animation; Web Accessibility Compliance Framework (WCAG),4,2.64; 2.87; 3.14; 2.49
STU-0165,Computer Science,4,2.86,2.94,"R, Python","Pandas, Git, Scikit-learn, Surprise, Docker","recommendation systems, data mining, neural networks",Easy,Product Performance Analytics for Portfolio Optimization; Matrix Factorization for Latent Factor Recommendations; ARIMA Model for Time Series Forecasting and Prediction; Net Promoter Score Calculation System for Customer Satisfaction,4,2.96; 3.03; 3.06; 2.75
STU-0166,Information Systems,3,1.96,2.19,"SQL, R, Python","Excel, Pandas, NumPy, Tableau, Jupyter, BigQuery","data analytics, data warehouse, enterprise resource planning",Medium,Reward Points Calculation and Redemption; Sales and Operations Planning (S&OP) Platform,2,1.59; 1.69
STU-0167,Information Technology,4,3.76,3.63,"Go, Bash, Python","Energy Monitoring, Terraform, Jenkins, Ansible, Pulumi, Docker","infrastructure automation, green IT",Hard,Metrics Collection and Aggregation Framework; Deduplication Engine for Backup Optimization,2,3.42; 2.82
STU-0168,Software Engineering,4,3.38,3.35,"Go, JavaScript, Python","Postman, Swagger, Git, Shopify","API development, e-commerce, microservices",Medium,Cloud Database Optimization Framework; Social Graph Framework for Relationship Modeling; Persistent Volume Management for Data Storage; Text Editor for Document Editing,4,4.21; 3.53; 3.72; 3.66
STU-0169,Information Systems,4,2.21,1.68,"Java, SQL, Python","Excel, Pandas, Visualization Tools, FHIR, HL7, Healthcare Platforms, Tableau","supply chain, healthcare systems, retail systems",Medium,Skills Gap Analysis and Training Needs Assessment,1,2.53
STU-0170,Cybersecurity,4,3.26,3.39,"Linux, Python","FTK, EnCase, MISP, Wireshark, Autopsy, Volatility","digital forensics, threat intelligence, privacy",Medium,System Call Hooking Framework for Behavioral Analysis; Credit Card Fraud Detection System Using Machine Learning Classification; API Key Management System for Application Security; Graph Neural Network for Attack Pattern Recognition; OT/IT Security Policy Integration Framework; Cross-Site Request Forgery (CSRF) Token Management System,6,3.16; 3.57; 3.86; 3.58; 3.11; 3.69
STU-0171,Software Engineering,3,3.1,3.13,"Python, Java, Kotlin, CSS","React, Git, Android Studio, Vue.js, Figma, Xcode","UI/UX design, mobile development, API development",Medium,SMS Service Integration for Text Messaging; Trending Algorithm for Trending Content,2,3.43; 2.97
STU-0172,Information Systems,4,4.06,4.16,"Python, Java, SQL, JavaScript","Excel, Matplotlib, Tableau, Salesforce","customer relationship management, data analytics, e-government",Medium,Infrastructure Project Management System; Shelf Space Allocation Algorithm for Product Placement,2,4.06; 3.96
STU-0173,Software Engineering,3,3.37,2.77,"Python, Java, Go, C#, JavaScript","Kubernetes, Terraform, Git, AWS, Spring Boot","enterprise systems, cloud computing, database design",Medium,Workload Migration for Greener Regions; Dependency Management System for Software Evolution; User Experience Score Calculator; Cron Job Manager for Scheduled Tasks,4,3.64; 3.27; 2.95; 2.94
STU-0174,Information Systems,4,2.75,2.47,"Java, SQL, JavaScript, Python","Excel, Apache Atlas, Tableau, Salesforce","customer relationship management, data governance, supply chain",Easy,Emergency Response Coordination System,1,3.03
STU-0175,Computer Science,3,3.61,3.45,"C++, Python","Git, Graph-tool, Linux, Neo4j, Transformers, NetworkX","graph algorithms, natural language processing",Medium,Token Economics Framework for Cryptocurrency Design; Data Profiling Engine for Data Discovery; Support Vector Regression for Continuous Value Prediction in Machine Learning,3,3.35; 3.42; 3.91
